"COMMENT_ID","AUTHOR","DATE","CONTENT","VIDEO_NAME","CLASS"
113,"Jacob Johnson",NA,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Waratel . Misty . Exciting . Swoquix . Acaer . Chillpal . Tupacase . Arrowgance . Lively . Hard . Idiotic . Bored . Cool . Ablaze . Crabby . Aloidia . Cheilith . Feandra . Useless . Ploosnar","Eminem - Love The Way You Lie ft. Rihanna",1
114,"rbsully",2015-01-09 03:44:56.996,"Check out this video on YouTube:﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
115,"Jasmin Lopez",2015-05-20 03:52:41.589,"I like how the robot shuffles he shuffles good﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
116,"AliBerk Özer",2015-05-27 15:16:59.137,"Love﻿","Eminem - Love The Way You Lie ft. Rihanna",0
117,"Detroit Red Wings",2014-11-06 20:55:09,"http://www.gofundme.com/gvr7xg﻿","PSY - GANGNAM STYLE(?????) M/V",1
118,"Sawa Jamal",2015-05-23 12:12:59.082,"Never gets old best song ever  ❤﻿","Eminem - Love The Way You Lie ft. Rihanna",0
119,"nobleMC | Minecraft, GFX and More!",2014-11-08 10:48:41,"If I get 300 subscribers by tomorrow I'll do a epic Hunger Games Video! ﻿","PSY - GANGNAM STYLE(?????) M/V",1
120,"Chelsea Fischer",2013-07-17 20:34:59.389,"Love this song !!!!!!","Shakira - Waka Waka",0
121,"ulvi ualiyev",2015-05-27 10:49:29.568,"NICE GIRL :D﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
122,"Jared Acevedo",2015-05-27 03:47:34.735,"Super awesome video<br />﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
123,"Andrew Guasch",NA,"Hey if you guys wouldnt mind...could you check out my boys and my music...we just made a real lyrical song...search DNA Andrew Guasch...I appreciate it. Leave some real feedback and keep Hip-Hop alive","Eminem - Love The Way You Lie ft. Rihanna",1
124,"Moymoy Palaboy",2014-11-07 01:24:27,"This is the best, funny and viral video of history (youtube) THE TRUE﻿","PSY - GANGNAM STYLE(?????) M/V",0
125,"Vence Cerbo",2015-05-21 09:19:36.091,"Lemme Top Comments Please!!﻿","Eminem - Love The Way You Lie ft. Rihanna",0
126,"BIANCA FLORENTINA MANTA",2014-11-07 11:25:13,"Katy Perry is lion﻿","Katy Perry - Roar",0
127,"Renee Nelson",2014-07-23 22:23:47.235,"Good video﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
128,"Michael Jurek",2014-11-02 13:37:06,"I did a cover if u want to check it out THANK U.....Michael Age 8﻿","Katy Perry - Roar",1
129,"nepaladventure",NA,"Check out this playlist on YouTube:﻿","Eminem - Love The Way You Lie ft. Rihanna",1
130,"black tiger",2015-05-22 05:23:38.336,"i love u  shakira﻿","Shakira - Waka Waka",0
131,"Domen Kristan",NA,"CHECK OUT THESE LYRICS /watch?v=yUTTX04oyqQ","Eminem - Love The Way You Lie ft. Rihanna",1
132,"CronicleFPS",2014-11-06 03:10:26,"Check me out I'm all about gaming ﻿","PSY - GANGNAM STYLE(?????) M/V",1
133,"Patrick Pernia",2014-11-12 14:17:28,"Limit sun exposure while driving. Eliminate the hassle of having to swing  the car visor between the windshield and window.  https://www.kickstarter.com/projects/733634264/visortwin﻿","PSY - GANGNAM STYLE(?????) M/V",1
134,"TheEpicMixx':)x",2013-08-08 13:34:40.655,"I really ask nicely to view my vids:) I subscribe back..","Shakira - Waka Waka",1
135,"Eric Gonzalez",2015-05-24 15:35:03.844,"To help shakira become the first female to hit 1billiom views, I&#39;ve decided to watch this Video at least one a day. Everyday! Shakifans we r so close just hit the replay button !!!﻿","Shakira - Waka Waka",0
136,"LaMusician",NA,"could you guys please check out my channel for hiphop beats?","Eminem - Love The Way You Lie ft. Rihanna",1
137,"jameel alnozha",2015-05-25 06:01:01.05,"amazing song﻿","Eminem - Love The Way You Lie ft. Rihanna",0
138,"Louis Bryant",NA,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the war illustrate the exclusive space? The mountain refers the helpless death. The tax reviews the special music.","Eminem - Love The Way You Lie ft. Rihanna",1
139,"Ronnie Cromer",2014-09-24 14:45:16,"You are all sheep, period. This is terrible music.﻿","Katy Perry - Roar",0
140,"Gulam Maulana",2015-05-26 15:46:26.833,"still.. this reminds me of 1 years back when i was do shuffle everyday﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0
141,"AD OSG",NA,"Please check out my New Song (Music Video) AD - Don&#39;t Play","Eminem - Love The Way You Lie ft. Rihanna",1
142,"Brotha B",2014-11-05 16:18:58,"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿","PSY - GANGNAM STYLE(?????) M/V",1
143,"Henry Cousins",2014-07-27 18:24:57.907,"hi guys please check out my vids , i will promos to subscribe to you to﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
144,"the34104",NA,"check out eminem latest track survival if u didnt","Eminem - Love The Way You Lie ft. Rihanna",1
145,"Ajkal Khan",NA,"my sister just received over 6,500 new <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23active"">#active</a> youtube views Right now. The only thing she used was pimpmyviews. com﻿","Eminem - Love The Way You Lie ft. Rihanna",1
146,"Michael J. Cabose",NA,"like this comment then type 1337","Eminem - Love The Way You Lie ft. Rihanna",1
147,"Julia Szefer",2015-06-05 18:13:30,"Katty is the best! ! ! ! ﻿","Katy Perry - Roar",0
148,"DrPunkable",2015-05-20 17:39:26.476,"okay, this should cover me for some time... Thumbs up if you&#39;re watching while youtube still exists.﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1
149,"Nice Girl",2014-11-10 18:11:36,"*KATY YOU ARE A SHIT GO DIE!!!!!ROAR IS A FLOOOOOOOOOOOOOOOOOOOOP*﻿","Katy Perry - Roar",0
150,"Huckyduck",2013-11-28 17:06:17,"Hey subscribe to me﻿","PSY - GANGNAM STYLE(?????) M/V",1
151,"tommy rincon",2015-05-24 20:59:37.012,"2015 and more....﻿","Eminem - Love The Way You Lie ft. Rihanna",0
