,COMMENT_ID,AUTHOR,DATE,CONTENT,VIDEO_NAME,CLASS,TOKENIZED
17,18,Chinsoman Films,2014-11-07 01:22:02,Please subscribe to me﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['please', 'subscribe', 'to', 'me\ufeff']"
18,19,railn j sander,2015-05-26 05:32:15.041,"I guss this song is one of my worst fears in life, to be with someone who abusive towered me and live with him.... ﻿",Eminem - Love The Way You Lie ft. Rihanna,0,"['i', 'guss', 'this', 'song', 'is', 'one', 'of', 'my', 'worst', 'fears', 'in', 'life', ',', 'to', 'be', 'with', 'someone', 'who', 'abusive', 'towered', 'me', 'and', 'live', 'with', 'him', '...', '.', '\ufeff']"
19,20,Joao Victor Canassa,2015-05-20 17:41:30.002,Charlie from Lost!﻿,Eminem - Love The Way You Lie ft. Rihanna,0,"['charlie', 'from', 'lost', '!', '\ufeff']"
20,21,OFFICIAL LEXIS,2014-11-04 20:26:48.03,Hi everyone! Do you like music? Then why not check out my music channel. The LEXIS band will be uploading their own songs and covers soon so don&#39;t miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one click. -&gt;﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1,"['hi', 'everyone', '!', 'do', 'you', 'like', 'music', '?', 'then', 'why', 'not', 'check', 'out', 'my', 'music', 'channel.', 'the', 'lexis', 'band', 'will', 'be', 'uploading', 'their', 'own', 'songs', 'and', 'covers', 'soon', 'so', 'don', '&', '#', '39', ';', 't', 'miss', 'out.', 'please', 'subscribe', 'too', 'as', 'it', 'does', 'help', 'us', 'out', 'a', 'lot.', 'just', 'takes', 'one', 'click.', '-', '&', 'gt', ';', '\ufeff']"
21,22,Nirab Valobasha,2015-05-27 21:31:38.388,I like shakira..﻿,Shakira - Waka Waka,0,"['i', 'like', 'shakira..\ufeff']"
22,23,vZoqwa,2015-05-21 09:48:06.926,thumbs up if you think this should have 1 billion views﻿,Eminem - Love The Way You Lie ft. Rihanna,0,"['thumbs', 'up', 'if', 'you', 'think', 'this', 'should', 'have', '1', 'billion', 'views\ufeff']"
23,24,Anderson St. Martin,2013-10-09 03:22:24.252,"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",Shakira - Waka Waka,1,"['hello', 'everyone', 'my', 'name', '&', '#', '39', ';', 's', 'anderson', 'and', 'i', '&', '#', '39', ';', 'm', 'a', 'singer.', 'not', 'expecting', 'to', 'buy', 'subscribers', 'with', 'words', 'but', 'to', 'gain', 'them', 'with', 'my', 'voice.', 'i', 'might', 'not', 'be', 'the', 'best', 'but', 'my', 'voice', 'is', 'different', '(', 'in', 'a', 'good', 'way', ')', 'and', 'i', '&', '#', '39', ';', 'll', 'work', 'harder', 'than', 'anyone', 'out', 'there', 'to', 'get', 'better', ',', '&', '#', '39', ';', 'cuz', '&', 'quot', ';', 'yeah', '&', 'quot', ';', 'i', 'have', 'a', 'dream', 'a', 'huge', 'one', ',', '(', 'who', 'doesn', '&', '#', '39', ';', 't', '?', ')', 'so', 'please', 'take', '3', 'minutes', 'of', 'your', 'time', 'to', 'check', 'out', 'my', 'covers.', 'give', 'me', 'a', 'chance', 'you', 'won', '&', '#', '39', ';', 't', 'regret', 'it', 'if', 'you', 'feel', 'like', 'subscribing', 'that', '&', '#', '39', ';', 'd', 'be', 'awesome', 'and', 'it', '&', '#', '39', ';', 'd', 'mean', 'the', 'world', 'to', 'me', 'thank', 'you', 'so', 'much']"
24,25,Scott Johnson,2013-10-18 19:45:43,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?",Shakira - Waka Waka,1,"['you', 'guys', 'should', 'check', 'out', 'this', 'extraordinary', 'website', 'called', 'zonepa.com', '.', 'you', 'can', 'make', 'money', 'online', 'and', 'start', 'working', 'from', 'home', 'today', 'as', 'i', 'am', '!', 'i', 'am', 'making', 'over', '$', '3,000+', 'per', 'month', 'at', 'zonepa.com', '!', 'visit', 'zonepa.com', 'and', 'check', 'it', 'out', '!', 'why', 'does', 'the', 'statement', 'conciliate', 'the', 'acidic', 'stretch', '?', 'the', 'earth', 'recognizes', 'the', 'money.', 'when', 'does', 'the', 'numberless', 'number', 'transport', 'the', 'trade', '?']"
25,26,BmwManDexter,2014-11-05 20:33:15,"check out ""starlitnightsky"" channel to see epic videos﻿",PSY - GANGNAM STYLE(?????) M/V,1,"['check', 'out', '``', 'starlitnightsky', ""''"", 'channel', 'to', 'see', 'epic', 'videos\ufeff']"
26,27,Matheus Macedo,2014-07-21 04:24:24.585,NICE :3﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0,"['nice', ':3\ufeff']"
27,28,YULIOR ZAMORA,2014-09-10 01:35:54,I    loved        it           so       much          because         you          get         to         stand            fear .﻿,Katy Perry - Roar,0,"['i', 'loved', 'it', 'so', 'much', 'because', 'you', 'get', 'to', 'stand', 'fear', '.\ufeff']"
28,29,Sam Banfield,2014-09-25 19:32:29,My three bigger secrets are: I don't think I'm good enough for me skinny  size. I'm bisexual and I sweat really freaking bad when I'm nervous. -  check out Secret by Austin Mahone's NEW Single!﻿,Katy Perry - Roar,1,"['my', 'three', 'bigger', 'secrets', 'are', ':', 'i', 'do', ""n't"", 'think', 'i', ""'m"", 'good', 'enough', 'for', 'me', 'skinny', 'size.', 'i', ""'m"", 'bisexual', 'and', 'i', 'sweat', 'really', 'freaking', 'bad', 'when', 'i', ""'m"", 'nervous.', '-', 'check', 'out', 'secret', 'by', 'austin', 'mahone', ""'s"", 'new', 'single', '!', '\ufeff']"
29,30,KatyPerry Queen,2014-09-14 09:47:10,Its almost Katys birthday! October 25th Lets say happy birthday to katy!!! ♥♥♥♥♥♥﻿,Katy Perry - Roar,0,"['its', 'almost', 'katys', 'birthday', '!', 'october', '25th', 'lets', 'say', 'happy', 'birthday', 'to', 'katy', '!', '!', '!', '♥♥♥♥♥♥\ufeff']"
30,31,eSkiip,2014-01-20 17:22:53,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,PSY - GANGNAM STYLE(?????) M/V,0,"['this', 'video', 'will', 'get', 'to', '2', 'billion', 'just', 'because', 'of', 'people', 'checking', 'if', 'it', 'has', 'hit', '2', 'billion', 'yet.\ufeff']"
31,32,real money,,subscribe to my feed,Eminem - Love The Way You Lie ft. Rihanna,1,"['subscribe', 'to', 'my', 'feed']"
32,33,Hoye Boyz,2014-09-13 09:07:27.253,"HAHAA THIS DANCE IS TIGHTTTT<br /><br />I know y&#39;all &quot;…ain&#39;t got time for MY demo man&quot;  but check out some of my stuff<br /><br />Slappers on slappers on bangers! Click that link below to peep game! ENJOY. <br /><br /><a href=""https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk"">https://soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk</a>﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1,"['hahaa', 'this', 'dance', 'is', 'tightttt', '<', 'br', '/', '>', '<', 'br', '/', '>', 'i', 'know', 'y', '&', '#', '39', ';', 'all', '&', 'quot', ';', '…ain', '&', '#', '39', ';', 't', 'got', 'time', 'for', 'my', 'demo', 'man', '&', 'quot', ';', 'but', 'check', 'out', 'some', 'of', 'my', 'stuff', '<', 'br', '/', '>', '<', 'br', '/', '>', 'slappers', 'on', 'slappers', 'on', 'bangers', '!', 'click', 'that', 'link', 'below', 'to', 'peep', 'game', '!', 'enjoy.', '<', 'br', '/', '>', '<', 'br', '/', '>', '<', 'a', 'href=', ""''"", 'https', ':', '//soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk', ""''"", '>', 'https', ':', '//soundcloud.com/rocc-steady/wave-emoji-prod-by-nippylongbottom-cyber-punk', '<', '/a', '>', '\ufeff']"
33,34,Crooked Gaming,2014-11-04 00:00:57,I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['i', 'made', 'a', 'gaming', 'channel', '(', 'unique', 'right', '?', ')', ':', 'l', 'angry', 'minecraft', '!', '\ufeff']"
34,35,Ryan Alexander Osborn,2013-10-04 02:26:08.693,"Believe that Jesus Christ is your savior for all your sins. If you truly believe in Jesus Christ to be your savior for all your sins then you will go to Heaven. If you believe in Jesus Christ then you are saved and you are in salvation and you have gained God’s righteousness. It matters not how much you have sinned in the past, in the present and especially in the future. Believe that Jesus Christ is your savior and you will go to Heaven forever and that is the whole truth. Spread the truth.",Shakira - Waka Waka,1,"['believe', 'that', 'jesus', 'christ', 'is', 'your', 'savior', 'for', 'all', 'your', 'sins.', 'if', 'you', 'truly', 'believe', 'in', 'jesus', 'christ', 'to', 'be', 'your', 'savior', 'for', 'all', 'your', 'sins', 'then', 'you', 'will', 'go', 'to', 'heaven.', 'if', 'you', 'believe', 'in', 'jesus', 'christ', 'then', 'you', 'are', 'saved', 'and', 'you', 'are', 'in', 'salvation', 'and', 'you', 'have', 'gained', 'god’s', 'righteousness.', 'it', 'matters', 'not', 'how', 'much', 'you', 'have', 'sinned', 'in', 'the', 'past', ',', 'in', 'the', 'present', 'and', 'especially', 'in', 'the', 'future.', 'believe', 'that', 'jesus', 'christ', 'is', 'your', 'savior', 'and', 'you', 'will', 'go', 'to', 'heaven', 'forever', 'and', 'that', 'is', 'the', 'whole', 'truth.', 'spread', 'the', 'truth', '.']"
35,36,Eidya Pal,2015-05-25 14:43:55.353,i totally love this song. absolutely fantastic! i love ya shakira!﻿,Shakira - Waka Waka,0,"['i', 'totally', 'love', 'this', 'song.', 'absolutely', 'fantastic', '!', 'i', 'love', 'ya', 'shakira', '!', '\ufeff']"
36,37,Kalle Eklund,2015-05-19 23:29:31.994,"Hi, nice song Shakira! (Sorry for bad Brazilian)﻿",Shakira - Waka Waka,0,"['hi', ',', 'nice', 'song', 'shakira', '!', '(', 'sorry', 'for', 'bad', 'brazilian', ')', '\ufeff']"
37,38,Julius NM,2013-11-07 06:20:48,"Huh, anyway check out this you[tube] channel: kobyoshi02",PSY - GANGNAM STYLE(?????) M/V,1,"['huh', ',', 'anyway', 'check', 'out', 'this', 'you', '[', 'tube', ']', 'channel', ':', 'kobyoshi02']"
38,39,JP Jochem,2014-01-20 20:23:35,Subscribe and like to me for more how to videos on minecraft!﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['subscribe', 'and', 'like', 'to', 'me', 'for', 'more', 'how', 'to', 'videos', 'on', 'minecraft', '!', '\ufeff']"
39,40,01FLHT,,Check out this video on YouTube:<br /><br />Eminem is amazing. ﻿,Eminem - Love The Way You Lie ft. Rihanna,1,"['check', 'out', 'this', 'video', 'on', 'youtube', ':', '<', 'br', '/', '>', '<', 'br', '/', '>', 'eminem', 'is', 'amazing.', '\ufeff']"
40,41,TheLjc808,2015-02-10 19:48:56.558,"Youtube comments in a nut shell:<br /><br />.First<br />.301 club<br />.Skip to <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m57s"">3:57</a> and close your eyes<br />.Advertisements<br />.like this comment for no reason<br />.Christianity arguements<br />.Other religious arguements<br />.Console wars<br />.#PCMASTERACE<br />.Trolls<br />.&quot;How is there 1 million views on the this video if theres online 10 people on earth/<br />.Complaints<br />.Pewdiepie fangirls<br />.Minecraft scrubs<br />./r/MontageParodies<br /><br /><br />AND ANY OTHER SHIT!!﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1,"['youtube', 'comments', 'in', 'a', 'nut', 'shell', ':', '<', 'br', '/', '>', '<', 'br', '/', '>', '.first', '<', 'br', '/', '>', '.301', 'club', '<', 'br', '/', '>', '.skip', 'to', '<', 'a', 'href=', ""''"", 'http', ':', '//www.youtube.com/watch', '?', 'v=kq6zr6kcpj8', '&', 'amp', ';', 't=3m57s', ""''"", '>', '3:57', '<', '/a', '>', 'and', 'close', 'your', 'eyes', '<', 'br', '/', '>', '.advertisements', '<', 'br', '/', '>', '.like', 'this', 'comment', 'for', 'no', 'reason', '<', 'br', '/', '>', '.christianity', 'arguements', '<', 'br', '/', '>', '.other', 'religious', 'arguements', '<', 'br', '/', '>', '.console', 'wars', '<', 'br', '/', '>', '.', '#', 'pcmasterace', '<', 'br', '/', '>', '.trolls', '<', 'br', '/', '>', '.', '&', 'quot', ';', 'how', 'is', 'there', '1', 'million', 'views', 'on', 'the', 'this', 'video', 'if', 'theres', 'online', '10', 'people', 'on', 'earth/', '<', 'br', '/', '>', '.complaints', '<', 'br', '/', '>', '.pewdiepie', 'fangirls', '<', 'br', '/', '>', '.minecraft', 'scrubs', '<', 'br', '/', '>', './r/montageparodies', '<', 'br', '/', '>', '<', 'br', '/', '>', '<', 'br', '/', '>', 'and', 'any', 'other', 'shit', '!', '!', '\ufeff']"
41,42,roflcopter2110,2014-11-04 02:22:06,http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['http', ':', '//thepiratebay.se/torrent/6381501/timothy_sykes_collection\ufeff']"
42,43,Caius Ballad,2014-11-13 00:58:20,imagine if this guy put adsense on with all these views... u could pay ur  morgage﻿,PSY - GANGNAM STYLE(?????) M/V,0,"['imagine', 'if', 'this', 'guy', 'put', 'adsense', 'on', 'with', 'all', 'these', 'views', '...', 'u', 'could', 'pay', 'ur', 'morgage\ufeff']"
43,44,Natalya Korshunova,2014-10-14 03:29:19,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,Katy Perry - Roar,0,"['katy', 'perry', '-', 'roar', '(', 'official', ')', ':', 'http', ':', '//youtu.be/cevxzvsjlk8\ufeff']"
44,45,ShockMinerX,2015-05-26 02:03:46.816,Remeber the good ol&#39; days when songs weren&#39;t about butts.  ﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0,"['remeber', 'the', 'good', 'ol', '&', '#', '39', ';', 'days', 'when', 'songs', 'weren', '&', '#', '39', ';', 't', 'about', 'butts.', '\ufeff']"
45,46,roflcopter2110,2014-09-19 23:15:14,http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO ﻿,Katy Perry - Roar,1,"['http', ':', '//thepiratebay.se/torrent/10626835/the.expendables.3.2014.dvdscr.xvid-dingo', '\ufeff']"
46,47,Madagascar Tropic Voyage,2015-05-26 16:02:07.1,Nice﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0,['nice\ufeff']
47,48,Adele Lupei,2014-11-07 19:47:06,"Is this the video that started the whole ""got my dick stuck in an elevator""  excuse thing? ﻿",PSY - GANGNAM STYLE(?????) M/V,0,"['is', 'this', 'the', 'video', 'that', 'started', 'the', 'whole', '``', 'got', 'my', 'dick', 'stuck', 'in', 'an', 'elevator', ""''"", 'excuse', 'thing', '?', '\ufeff']"
48,49,Amie Rutledge,,Check out this video on YouTube:﻿,Eminem - Love The Way You Lie ft. Rihanna,1,"['check', 'out', 'this', 'video', 'on', 'youtube', ':', '\ufeff']"
49,50,Andrés Nuñez,2015-05-21 02:11:54.71,super﻿,Eminem - Love The Way You Lie ft. Rihanna,0,['super\ufeff']
50,51,Tofik Miedzyń,2014-11-13 21:48:26,https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&amp;theater ﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['https', ':', '//www.facebook.com/tofikmiedzynb/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/', '?', 'type=1', '&', 'amp', ';', 'theater', '\ufeff']"
51,52,sebastian hudson,2014-10-21 18:16:46,katy is mine the girl of my dreams ♥﻿,Katy Perry - Roar,0,"['katy', 'is', 'mine', 'the', 'girl', 'of', 'my', 'dreams', '♥\ufeff']"
52,53,Danuchi zuuzu,2014-09-23 14:55:49,so cute that monkey *-*! ﻿,Katy Perry - Roar,0,"['so', 'cute', 'that', 'monkey', '*-*', '!', '\ufeff']"
53,54,Monster Sifou,2014-11-04 18:30:39,8 million likes xD even the subscribers not 8 million xD﻿,PSY - GANGNAM STYLE(?????) M/V,0,"['8', 'million', 'likes', 'xd', 'even', 'the', 'subscribers', 'not', '8', 'million', 'xd\ufeff']"
54,55,Ishfaq khan,2013-10-21 07:18:41.46,plz i wilsubscribe me frndzzl subscribe u back,Shakira - Waka Waka,1,"['plz', 'i', 'wilsubscribe', 'me', 'frndzzl', 'subscribe', 'u', 'back']"
55,56,DanteBTV,,Check Out The New Hot Video By Dante B Called Riled Up,Eminem - Love The Way You Lie ft. Rihanna,1,"['check', 'out', 'the', 'new', 'hot', 'video', 'by', 'dante', 'b', 'called', 'riled', 'up']"
56,57,Jarelys Mellado,2015-02-23 00:37:24.817,Check out this video on YouTube:<br /><br />﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1,"['check', 'out', 'this', 'video', 'on', 'youtube', ':', '<', 'br', '/', '>', '<', 'br', '/', '>', '\ufeff']"
57,58,Waleed Khan,2015-05-22 13:54:59.712,This is my favorite song ever love this Party Rock It Everybody!!!!﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",0,"['this', 'is', 'my', 'favorite', 'song', 'ever', 'love', 'this', 'party', 'rock', 'it', 'everybody', '!', '!', '!', '!', '\ufeff']"
58,59,IMustKillGoogle+,2014-10-25 20:10:35,Glad to know im not the only one who knows its katheryn's birthday today :)  happy birthday katy...and my sister. (they seriously have the same  birthday...)﻿,Katy Perry - Roar,0,"['glad', 'to', 'know', 'im', 'not', 'the', 'only', 'one', 'who', 'knows', 'its', 'katheryn', ""'s"", 'birthday', 'today', ':', ')', 'happy', 'birthday', 'katy', '...', 'and', 'my', 'sister.', '(', 'they', 'seriously', 'have', 'the', 'same', 'birthday', '...', ')', '\ufeff']"
59,60,David Bell,2014-01-21 03:18:31,the most viewed youtube video of all time?﻿,PSY - GANGNAM STYLE(?????) M/V,0,"['the', 'most', 'viewed', 'youtube', 'video', 'of', 'all', 'time', '?', '\ufeff']"
60,61,Xan Harmer,2015-05-26 06:19:34.669,Check out this video on YouTube:﻿,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1,"['check', 'out', 'this', 'video', 'on', 'youtube', ':', '\ufeff']"
61,62,Juan Martinez,2013-10-02 03:08:55.478,She is perfect! &lt;3,Shakira - Waka Waka,0,"['she', 'is', 'perfect', '!', '&', 'lt', ';', '3']"
62,63,Denzel Saimi,2014-10-26 08:38:36,I fucking hate her. Why? Because she don't write her songs she got  producers for that. Second why tha fack is she in every song almost nude  mayby because she's an attention hooker.﻿,Katy Perry - Roar,0,"['i', 'fucking', 'hate', 'her.', 'why', '?', 'because', 'she', 'do', ""n't"", 'write', 'her', 'songs', 'she', 'got', 'producers', 'for', 'that.', 'second', 'why', 'tha', 'fack', 'is', 'she', 'in', 'every', 'song', 'almost', 'nude', 'mayby', 'because', 'she', ""'s"", 'an', 'attention', 'hooker.\ufeff']"
63,64,zakaia ziko,2014-11-08 11:00:19,follower please https://www.facebook.com/lists/161620527267482﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['follower', 'please', 'https', ':', '//www.facebook.com/lists/161620527267482\ufeff']"
64,65,Jouri Osman,2014-09-13 15:05:13,I love KATY PERRY &lt;3 &lt;3﻿,Katy Perry - Roar,0,"['i', 'love', 'katy', 'perry', '&', 'lt', ';', '3', '&', 'lt', ';', '3\ufeff']"
65,66,nanaIAMNANA,2014-10-18 12:41:41,Hi! I would appreciate it if you all could help to like this poster on  Facebook:  https://www.facebook.com/nyghdramafest2014/photos/a.333608120156973.1073741830.327568907427561/333607726823679/?type=3&amp;theater ﻿,Katy Perry - Roar,1,"['hi', '!', 'i', 'would', 'appreciate', 'it', 'if', 'you', 'all', 'could', 'help', 'to', 'like', 'this', 'poster', 'on', 'facebook', ':', 'https', ':', '//www.facebook.com/nyghdramafest2014/photos/a.333608120156973.1073741830.327568907427561/333607726823679/', '?', 'type=3', '&', 'amp', ';', 'theater', '\ufeff']"
66,67,T MAN,2015-05-21 17:41:48.433,Fire..﻿,Eminem - Love The Way You Lie ft. Rihanna,0,['fire..\ufeff']
67,68,MiningBip3,2014-11-06 02:22:00,Check out pivot animations in my channel﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['check', 'out', 'pivot', 'animations', 'in', 'my', 'channel\ufeff']"
68,69,Ju`Wan Wright,2014-11-06 02:39:07,Follow me on twitter &amp; IG : __killuminati94﻿,PSY - GANGNAM STYLE(?????) M/V,1,"['follow', 'me', 'on', 'twitter', '&', 'amp', ';', 'ig', ':', '__killuminati94\ufeff']"
69,70,LaiLa Steudle,2015-05-19 19:05:28.47,Me and my aunt love this song!!!!!﻿,Shakira - Waka Waka,0,"['me', 'and', 'my', 'aunt', 'love', 'this', 'song', '!', '!', '!', '!', '!', '\ufeff']"
70,71,Carmen W,2015-05-24 01:36:23.815,I swear Shakira keeps getting more and more gorgeous! She definitely looks more gorgeous with her hair this way than super curly.﻿,Shakira - Waka Waka,0,"['i', 'swear', 'shakira', 'keeps', 'getting', 'more', 'and', 'more', 'gorgeous', '!', 'she', 'definitely', 'looks', 'more', 'gorgeous', 'with', 'her', 'hair', 'this', 'way', 'than', 'super', 'curly.\ufeff']"
71,72,..xXCoolMultiXx..,,He gets more views but has less subscribers lol,Eminem - Love The Way You Lie ft. Rihanna,1,"['he', 'gets', 'more', 'views', 'but', 'has', 'less', 'subscribers', 'lol']"
72,73,rachel perez,2015-05-25 14:05:18.188,the song is sad﻿,Shakira - Waka Waka,0,"['the', 'song', 'is', 'sad\ufeff']"
73,74,TA Stealth,2015-03-11 01:25:46.234,"Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23EveryDayImVaping"">#EveryDayImVaping</a> ;-)﻿","LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",1,"['cool', 'video', 'lmfaovevo', '!', 'you', 'should', 'check', 'out', 'my', 'shuffling', 'videos', 'on', 'my', 'channel', 'when', 'you', 'get', 'the', 'chance.', 'it', '&', '#', '39', ';', 's', 'much', 'appreciated.', 'cheers', '!', '<', 'a', 'rel=', ""''"", 'nofollow', ""''"", 'class=', ""''"", 'ot-hashtag', ""''"", 'href=', ""''"", 'https', ':', '//plus.google.com/s/', '%', '23everydayimvaping', ""''"", '>', '#', 'everydayimvaping', '<', '/a', '>', ';', '-', ')', '\ufeff']"
74,75,Alanoud Alsaleh,2014-09-15 18:27:56,"I started hating Katy Perry after finding out that she stole all of the  ideas on her videos  from an old comic book. Yet, her music is catchy. ﻿",Katy Perry - Roar,0,"['i', 'started', 'hating', 'katy', 'perry', 'after', 'finding', 'out', 'that', 'she', 'stole', 'all', 'of', 'the', 'ideas', 'on', 'her', 'videos', 'from', 'an', 'old', 'comic', 'book.', 'yet', ',', 'her', 'music', 'is', 'catchy.', '\ufeff']"
75,76,Priyanshu Panta,2014-10-02 13:17:36,https://www.facebook.com/pages/Hiphop-Express/704682339621282                 like this page yo﻿,Katy Perry - Roar,1,"['https', ':', '//www.facebook.com/pages/hiphop-express/704682339621282', 'like', 'this', 'page', 'yo\ufeff']"
76,77,Isabel Flores,2015-05-20 00:49:34.07,Love your songs<br />Supper cool<br />﻿,Eminem - Love The Way You Lie ft. Rihanna,0,"['love', 'your', 'songs', '<', 'br', '/', '>', 'supper', 'cool', '<', 'br', '/', '>', '\ufeff']"
